Company,Applicants,Title,Abstract,Industry,Patents_number,Prescore,Date_of_latest_publication,AI_score,Recommendation,Lead_Message,rag_cases,web_context,Website,LinkedIn
OMNI DESIGN TECH,OMNI DESIGN TECH INC,System and Method for Calibrating ADC Nonlinearities With Trained Machine-Learning Model,"A system includes a primary analog-to-digital converter (ADC) having an input electrically coupled to an input voltage, the primary ADC configured to sample the input voltage at a frequency and convert sampled input voltages to respective primary ADC digital outputs; and a trained calibration engine having an input electrically coupled to an output of the primary ADC, the trained calibration engine including a trained machine-learning (ML) model configured to correct each primary ADC digital output to a respective corrected digital output, the trained ML model having been trained with reference digital outputs from a reference ADC and training digital outputs from the primary ADC, the reference digital outputs representing ground-truth data for modeling the training digital outputs from the primary ADC.",Semiconductor,1,95,2025-06-18,6,"While Omni Design Technologies operates in a relevant industry, their focus on semiconductor IP cores and hardware solutions does not align closely with software development needs. The lack of a strong match to RAG cases and their significant funding suggests they may not require external software development services at this time.",,[],,https://www.omnidesigntech.com,https://www.linkedin.com/company/omni-design-technologies
OREQA TECH,OREQA TECH INC,Hydrogen Energy Storage and Energy Aggregation Systems Utilizing Machine Learning for Virtual Power Plants,"An energy control system employing agentic machine learning techniques to intelligently manage hydrogen production and storage, solar energy production, and interfacing with external systems such as the grid and virtual power plants (VPPs). In accordance with various embodiments of the present invention, a hydrogen storage assembly includes an electrolyzer, a hydrogen storage system, a hydrogen fuel cell, an inverter, an electrochemical energy storage module (e.g., batteries), a power conversion system, and a control system incorporating machine learning techniques, such as reinforcement learning models used to train a set of specialized agents configured to intelligently handle surplus and deficit power conditions during on-grid and off-grid states. The systems and methods may be used, for example, to optimize energy distribution based on behavioral metadata and to implement a fractal grid architecture.",Climate Technology Product Manufacturing,1,95,2025-11-26,6,Oreqa Technologies operates in a relevant industry but lacks a clear need for software development services based on current information. Their focus on hardware and energy solutions may not align with Interexy's software development capabilities.,,[],,https://www.oreqa.com,https://www.linkedin.com/company/oreqa
TDK U S A,TDK U S A CORP,ADAPTIVE ARTIFICIAL INTELLIGENCE/MACHINE LEARNING,"Enhanced adaptive noise cancellation of sensor signals to generate denoised sensor signals, which can be provided to an AI-based model to facilitate adaptive training and operation of the model, is presented. An adaptive noise canceler can adaptively filter a sensor signal, comprising sensor data and noise, received from a sensor(s) to cancel the noise from the sensor signal, based on an adaptive filter function and external reference signal received from a reference sensor(s), which can sense conditions associated with the sensor(s), or internal reference signal, to generate a denoised sensor signal that can comprise the sensor data. The adaptive noise canceler can comprise an interface component that can be configured to interface with the model and initiate training of the model by communication of the denoised sensor signal to an input port of the model, wherein the model can be trained based on the denoised sensor signal.",Electronics,1,95,2025-08-29,4,"Maybe; TDK operates in electronics with a focus on components, but lacks a clear need for software development services based on current offerings.",,[],,https://www.tdk.com/,https://www.linkedin.com/company/tdk-corporation/
NEUBAU ENERGY,NEUBAU ENERGY INC,INTELLIGENT RELAY-BASED LOAD MANAGEMENT SYSTEM WITH MACHINE LEARNING OPTIMIZATION AND MOBILE APPLICATION CONTROL FOR BATTERY ENERGY STORAGE SYSTEMS,"A load management system integrates comparator-based neutral sensing, machine learning prediction, and relay control into a single integrated “AC” board requiring no additional wiring. A highspeed comparator circuit detects grid failures in sub millisecond timeframes, providing clean data to a temporal convolutional network that predicts load requirements 24 hours in advance with integration of external data sources such as weather and time of use pricing. The system automatically manages 120V and 240V circuits during grid transitions, learning from user override patterns to continuously improve performance. A mobile application provides real-time monitoring and control. The integration of low-latency sensing with predictive machine learning enables performance improvements exceeding 40% in battery runtime compared to conventional systems, while reducing installation time and cost.",Renewable Energy,1,95,2025-09-24,6,"Neubau Energy operates in the renewable energy sector with a focus on innovative energy storage solutions. While there is a relevant industry match, the specific technology stack does not align closely with Interexy's software development services. The company may have limited immediate needs for software development outsourcing, hence a score of 6.",,[],,https://www.neubauenergy.com/,https://www.linkedin.com/company/neubau-energy/
LOCATORX,LOCATORX INC,"METHODS AND APPARATUS FOR DETECTING ASSET MISUSE, LOSS, OR PIRACY IN A SUPPLY CHAIN USING NEURAL NETWORKS","A system and method are disclosed for tracking and verifying authenticity, loss, fraud, or unauthorized use of assets within a supply chain. The method includes scanning a multimodal tag (e.g., QR code and NFC tag) associated with an asset to generate scan data comprising a hash code, asset identifier, and verification URL. The scan data is transmitted to an application server of a parent organization, where a controller retrieves associated location and organization identifiers. The controller determines authorization status, compares the hash code with reference values in a verification database, and performs authenticity checks to classify the asset as genuine, lost, duplicated, or pirated. The system integrates with a CRM platform to register new child organizations using data synchronization objects comprising payloads, callout instructions, and error handling. AI-based analysis may detect route deviations, fraudulent insertions, or asset misuse patterns based on route history and scanning behavior.",Technology,1,95,2025-07-18,8,"LocatorX is a strong fit for software development services due to its focus on IoT and secure data solutions, aligning well with our expertise in modern tech stacks and the successful case of Propelapps, which also operates in AI and software development.",,[],,https://www.locatorx.com/,https://www.linkedin.com/company/locatorx
SCEDASTIC AL,SCEDASTIC AL INC,Systems and Methods for Probabilistic Representation-Based Machine Learning,"An example method of providing inferences uses probabilistic machine learning trained without offline training. The method includes receiving a first set of inputs at a probabilistic machine-learning model. The model comprises a set of nodes sparsely coupled to one another in accordance with associations learned from a prior set of inputs. The method also includes generating, via a first subset of nodes, a first set of multi-dimensional vectors approximated by aggregating respective subsets of the first set of inputs. The method further includes generating, via a second subset of nodes, a second set of multi-dimensional vectors. The second set of vectors is approximated based on the first set of inputs and the first set of vectors. The method further includes generating an inference for the first set of inputs based on the second set of vectors.","E-commerce, Food and Beverage",1,95,2025-07-22,4,Maybe; relevant industry but unclear outsourcing potential and no strong RAG matches.,,[],,https://www.sec-al.com.tr,https://www.linkedin.com/company/sec-al-market
SENSOR ELECTRONIC TECH,SENSOR ELECTRONIC TECH INC,Wearable Electronic Device Sterilization,"A stand for a wearable electronic device, such as a virtual reality headset, can include a platform configured to support the wearable electronic device which can include a treatment surface having an ultraviolet transparent structure with an outer surface configured to conform to a shape of a contact surface of the wearable electronic device. The stand can include one or more ultraviolet light sources configured to direct ultraviolet radiation through the outer surface of the transparent structure and onto the contact surface of the wearable electronic device. The stand can further include a charging interface configured to enable a battery of the wearable electronic device to be charged while the wearable electronic device is located on the platform.",Semiconductors,1,95,2025-05-28,5,"Relevant industry match, but unclear outsourcing potential for software development services. No strong RAG case matches.",,[],,http://www.s-et.com,https://www.linkedin.com/company/sensor-electronic-technology-inc
ENLITENAI,ENLITENAI INC,DIGITAL HEALTH PLATFORM FOR ARTIFICIAL INTELLIGENCE BASED SEIZURE MANAGEMENT,"Implementations described and claimed herein provide systems and methods for a cloud-based seizure management platform for personalized management of seizures while providing assured connectedness across multiple stakeholders. The systems and methods address the needs of a patient in the area of seizure management, through such functionalities as seizure detection, seizure histories and other health-related data management, stakeholder connectedness, tachyphylaxis detection, drug titration guidance, and/or treatment aggressiveness management. The system provides for access for multiple parties, including allowing neurologists and/or caregivers to monitor progression of neurological conditions on a continuous basis while at home or otherwise remote from the patient. The unique methodology of the seizure management system includes wearable technologies coupled with artificial intelligence, machine-learning algorithms, and data modeling techniques to enable personalization of care.",Healthcare,1,95,2025-08-18,8,Strong fit due to alignment with RAG case Empower Sleep in healthcare and technology stack. EnlitenAI's focus on AI-driven solutions for neurological disorders indicates a clear need for software development services.,,[],,https://enlitenai.com/,https://www.linkedin.com/company/enlitenai/
WEBER AXEL,WEBER AXEL,"INTELLIGENT AI ROUTING ADVISORY PLATFORM WITH SYNTHETIC INJECTION TESTING, BIAS DETECTION DIGITAL TWIN, ZERO-COPY PIPELINE, CRYPTOGRAPHIC COMPLIANCE VERIFICATION, AND AUTONOMOUS MULTI-TIER COORDINATION FOR HETEROGENEOUS AI PROVIDER ECOSYSTEMS","A computer-implemented system for routing artificial intelligence (AI) queries. The system utilizes a zero-copy data pipeline, which processes prompts in memory-mapped buffers to eliminate at least one memory copy operation, thereby reducing latency relative to conventional serialization pipelines. The system continuously verifies AI provider compliance by injecting synthetic prompts containing invisible, Ed25519-signed Unicode watermarks. Algorithmic bias is detected by generating counterfactual “digital twin” prompts and applying Fisher exact statistical testing.Routing decisions for multi-tier autonomous systems are governed by safety-level requirements (ASIL-D, ASIL-B, QM) and may be constrained by external routing directives received via a meta-identifier. A hash-chained manifest, cryptographically signed using Ed25519 and consumed by downstream gateways, is generated for each routing decision, with its Merkle root asynchronously anchored to a blockchain to create a tamper-evident audit trail for regulatory compliance.",None,1,95,2025-07-23,1,"Individual inventor, not a company target",,[],,,
RAMACHANDRAN VIGNESH,RAMACHANDRAN VIGNESH,"Method to leverage Neural Networks and Large Language Models for Reliable Financial Forecasting, Analysis and Business Intelligence","A system and method for leveraging small language models and neural networks to perform reliable financial forecasting, analysis, and business intelligence. The invention integrates mind maps, retrieval-augmented generation, fine-tuned AI models, and high-security infrastructure to deliver accurate and explainable financial insights from natural language prompts. The mind maps can interact with a small language model to build artificial brain and logic layer. The small language model allows users to query financials using natural language and returns context-aware explanations. There is a Named Entity Recognition (NER) model that uses spaCy and runs in asynchronous execution. Retrieval-augmented generation (RAG) is used to enhance reliability of responses. The type of artificial intelligence includes machine learning, deep learning, and neural networks. There can be knowledge graphs for each financial caption with structured node relationships. Data security is enforced using authorization, JWT authentication, MFA, geo-fencing, and on-premise SLM training.","Software Development, Manufacturing, Transport and Logistics",1,95,2025-09-17,6,"Relevant industry match, but unclear outsourcing potential and no strong RAG case similarity.",,[],,,
AIRGLIDE AI,AIRGLIDE AI INC,DEEP LEARNING PREDICTIVE AUTOMATION AND CONTROL SYSTEM FOR AN AIR DISTRIBUTION SYSTEM,"A computer-implemented control system and method for dynamically managing airflow in an air lubrication system of a vessel are disclosed. Real-time sensor data including vessel motion, acceleration, and speed-through-water are processed by a controller executing a machine learning model to predict near-future sea-state conditions. The controller accesses and interpolates computational fluid dynamics (CFD) efficiency profiles to determine target airflow values and generate valve and compressor commands that modulate airflow to multiple outlets beneath the hull. Feedback from hull and pressure sensors is used to stabilize the air layer, while a learning-based prediction engine continuously refines CFD profiles to improve operational efficiency and reduce parasitic load. The system enhances vessel hydrodynamic performance and fuel economy under varying environmental conditions.",Maritime Transportation,1,95,2025-11-11,5,Relevant industry match but unclear outsourcing potential. No strong RAG matches found.,,[],,https://www.airglide.ai,https://www.linkedin.com/company/airglideai
AIVRES SYSTEMS,AIVRES SYSTEMS INC,MACHINE LEARNING-BASED PCIe BIFURCATION CONFIGURATION,"A dynamic method and system for configuring PCI Express (PCIe) bifurcation is provided. A baseboard management controller (BMC) receives system condition data representing current hardware configuration and operational metrics, including device presence, negotiated link widths, error counts, and thermal events. A trained machine learning model, such as a decision tree, predicts boot success outcomes for multiple candidate bifurcation configurations. The BMC selects a preferred configuration based on the predictions and writes it to a reserved memory buffer (RMB). During subsequent initialization, a basic input/output system (BIOS) retrieves the preferred configuration from the RMB and applies it to initialize PCIe links. The model is periodically retrained with new boot outcomes to refine predictions, enabling adaptive, self-learning bifurcation without repeated BIOS recompilation or reflashing.",Information Technology & Services,1,95,2025-09-03,6,"Aivres Systems operates in a relevant industry but lacks a clear need for software development services as their focus is on hardware solutions for data centers. The technology stack does not align closely with software development needs, and there are no strong RAG case matches.",,[],,https://aivres.com/,https://www.linkedin.com/company/aivres
QUIZLET,QUIZLET INC,DYNAMIC FLOOR VALUE OPTIMIZATION USING MACHINE LEARNING MODELS,"A computer-implemented method comprising collecting bid data corresponding to bids of different user computers in a real-time computer-implemented auction, wherein each user computer is associated with a digital content item that a content server can serve to a web server; based on bid data parameters of the bid data, aggregating digital identifiers of user computers into a plurality of user groups, and digitally storing a training dataset comprising the bid data parameters and the user groups; training a machine learning model (MLM) using the training dataset to create and store a trained MLM; executing an inference stage of the trained MLM over input data comprising characteristics of a particular user group from among the plurality of user groups and revenue-per-thousand impressions data (RPM data) to output a prediction of a group-associated floor bid value for the particular user group; transmitting, to the content server, the floor bid value and an identifier of the particular user group; and dynamically adjusting, by the content server, a frequency of updating the floor bid value, wherein the adjusting occurs when an average maximum bid price for a set of auctions exceeds the floor bid value.",Educational Technology,1,95,2025-06-30,8,"Quizlet is a strong fit for our software development services, particularly due to its use of modern technologies and recent AI integrations. The company's focus on enhancing educational tools aligns well with our expertise in developing custom software solutions.",,[],,https://quizlet.com/,https://www.linkedin.com/company/quizlet
KNOWRX,KNOWRX INC,Artificial Intelligence-Driven Digital Health Platform,"A digital health platform may be configured to manage health data. The platform may receive, from a mobile application associated with a user, first health data including at least one of a prescription indicator or a user-reported health metric. Second health data including at least one physiological measurement may be received from at least one wearable device associated with the user. Third health data associated with the user may be received from at least one external health record data source. The first health data, the second health data, and the third health data may be aggregated into a Consumer Health Record (CHR). A bi-directional exchange of at least a portion of the CHR with an external healthcare system may be facilitated via a secure data exchange system based on governance rules set by the user.",Healthcare Technology,1,95,2025-09-11,7,"Good fit due to the healthcare focus and the use of modern technology stack, with similarities to RAG cases like HIGHQFITNESS in terms of AI integration and user engagement.",,[],,https://knowrx.mobi,
KARIGUDDAIAH ABIJITH,KARIGUDDAIAH ABIJITH,"AI NURSE PLATFORM: AN ARTIFICIAL INTELLIGENCE, CONVERSATIONAL (AI AGENTIC) AI NLP, GENERATIVE-AI & DEEP LEARNING LARGE LANGUAGE MODEL/S (LLM) DRIVEN VIRTUAL ASSISTANT/S FOR ENHANCED PATIENT PERSONALIZED CARE OUTCOMES & FACILITY EFFICIENCIES","A system and method for providing a modular virtual assistant platform powered by conversational AI, Machine Learning (ML), Natural Language Processing (NLP), Generative-AI (Gen-AI), and Large Language Models (LLMs), designed to improve patient-centred care and healthcare facility efficiency. The platform monitors vital health data, provides automated Q&A assessments, integrates with historical Electronic Medical Record (EMR) data for near real-time analysis and personalized recommendations. The platform addresses challenges such as staff shortages, patient care delays, and limited healthcare access. A modular orchestration framework is configured to coordinate multiple specialized AI agents, each continuously learning and designed to solve specific healthcare use cases with high reliability. These agents can be interconnected to collectively address complex clinical workflows. Key features include patient-nurse interaction, administrative task automation, data analysis and control, cloud-based infrastructure, device agnostic integration, and blockchain-enabled patient data ownership.","Marketing, Safety Equipment Manufacturing, Inland Water Transport",1,95,2025-07-17,4,Relevant industry but unclear software development needs; potential for basic tech match.,,[],,,
SCHULTZ JOSHUA ALEXANDER,SCHULTZ JOSHUA ALEXANDER,System and Method for Standardizing and Displaying Environmental Impact Data of Building Materials Using Life-Cycle Assessment Data and Machine Learning,"The present invention relates to a system and method for calculating, standardizing, and displaying environmental impact data of construction materials. The system reconciles data discrepancies from various life-cycle assessment (LCA) sources using advanced machine learning algorithms and statistical models. It applies regulatory thresholds and presents data through an intuitive environmental label in the form of Percent Daily Values (PDV) for key environmental categories, including global warming potential and energy consumption. The system dynamically adjusts to updated regulatory standards, providing accurate, consumer-friendly environmental labels for experts and non-experts.",Management Consulting,1,95,2025-09-22,6,"Relevant industry and basic tech match, but unclear outsourcing potential. Consider exploring specific software development needs.",,[],,https://www.joshuaschultz.com/,https://www.linkedin.com/in/joshuaschultz
KILJANEK LUKASZ R,KILJANEK LUKASZ R,SYSTEMS AND METHODS FOR DIRECTED OPTIMIZATION OF FIRST MACHINE LEARNING MODEL USING SECOND MACHINE LEARNING MODEL,"Systems and methods are disclosed for optimizing a first machine learning (ML) model using a second ML model. In some examples, a system generates modifications to the first ML model. Each of the modifications is associated with a respective node of the first ML model. The system tracks a processing characteristic corresponding to modified variants of the first ML model (corresponding to the modifications) processing a test dataset to generate respective results. In some examples, the system trains the second ML model based on context (the modifications and the respective changes). The system identifies, using the second ML model and based on the context (e.g., the training), a modification to the first ML model that adjusts the processing characteristic of the first ML model in a predetermined direction. The system modifies the first ML model according to the modification to generate a modified first ML model.",Healthcare Technology,1,95,2025-06-09,8,Strong fit due to alignment with healthcare technology and similar tech stack as RAG cases. Potential for software development services in AI-driven medical solutions.,,[],,https://www.endlessmedical.com/,https://www.linkedin.com/in/lukaszruszczak
BOLOURI RAMIN,BOLOURI RAMIN,Ai-Driven Cross-Platform Workflow Automation Using Computer Vision And Machine Learning,"An AI-driven robotic process automation system learns and replicates user workflows across web, desktop, and legacy applications using computer vision and machine learning. During training, the system observes user actions with visual and structural UI context, segments the sequence into reusable tasks, and synthesizes a generalized workflow model. At runtime, a hybrid locator fusing vision with DOM/accessibility metadata binds abstract actions to live controls, while a self-healing subsystem detects anomalies and applies recovery actions. A continuous learning loop updates models and task definitions from execution telemetry so automations remain effective as interfaces evolve. The result is resilient “learn-once, run-anywhere” automation that reduces brittle scripting and maintenance overhead.",Technology,1,95,2025-08-28,6,"Relevant industry match with a focus on AI, but unclear outsourcing potential and no strong RAG matches.",,[],,,
MAO TINGKAO,MAO TINGKAO,Quantum-Entropy Hardware-Gated Randomization Control System for Trusted Execution Environment-Based Clinical Trial Assignment with Two-Phase IRB Compliance Verification and Fixed-Length Treatment Allocation Framing,"A randomization control system for clinical-trial treatment assignment operates inside a trusted execution environment (TEE) and releases assignments only after a two-phase review pipeline aligned with institutional review board (IRB) requirements. The system draws randomness from a quantum source validated by physical/statistical checks (e.g., Bell-test style violations and entropy-quality metrics) and automatically falls back to TEE hardware RNG when measured quality drops below a policy threshold. Trial parameters are canonicalized and cryptographically bound to each decision. Assignments are emitted as fixed-length frames that conceal allocation while carrying a commitment to inputs, an attestation of correct processing, and an indicator of the active entropy mode. Emission occurs in constant time and the interface is restricted to predefined outputs to resist timing and traffic analysis. The design preserves allocation confidentiality, enforces protocol constraints (freshness and arm balance), and maintains an auditable log of entropy quality and mode transitions.",Consumer Staples,1,91,2025-09-24,4,"Mao Geping Cosmetics operates in the consumer staples sector with a focus on cosmetics and skincare. While they utilize technology in e-commerce and supply chain management, there is no strong indication of a need for advanced software development services, particularly in the areas of AI or complex software solutions. The tech stack does not align closely with Interexy's expertise in modern software development, and the company's size and revenue suggest they may not require external software development partnerships.",,[],,http://www.maogeping.com,https://www.linkedin.com/company/mao-geping-cosmetics
